year,stateabbr,locationname,category,measure,data_value,data_value_unit
2022,AL,Tuscaloosa,Health Outcomes,All teeth lost among adults aged >=65 years,15.2,%
2023,AR,Crittenden,Health Outcomes,Cancer (non-skin) or melanoma among adults,6.6,%
2023,AK,Juneau,Health Risk Behaviors,Binge drinking among adults,20.0,%
2023,AR,Pope,Prevention,Visits to doctor for routine checkup within the past year among adults,76.5,%
2023,CA,Inyo,Health Risk Behaviors,No leisure-time physical activity among adults,21.1,%
2023,AR,Bradley,Prevention,Cholesterol screening among adults,84.7,%
2023,AK,Aleutians West,Health-Related Social Needs,Received food stamps in the past 12 months among adults,8.9,%
2023,AK,Nome,Prevention,Cholesterol screening among adults,74.1,%
2023,CA,Madera,Health-Related Social Needs,Food insecurity in the past 12 months among adults,28.0,%
2023,AL,Greene,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,19.8,%
2022,AR,Sevier,Prevention,Colorectal cancer screening among adults aged 45–75 years,51.8,%
2023,CA,Mono,Health Outcomes,Arthritis among adults,20.4,%
2023,AL,Montgomery,Health Outcomes,Coronary heart disease among adults,6.9,%
2023,AK,Fairbanks North Star,Health Outcomes,High blood pressure among adults,31.7,%
2023,AL,Choctaw,Health Outcomes,Obesity among adults,44.4,%
2023,AK,Chugach,Disability,Vision disability among adults,4.3,%
2022,AR,Ouachita,Prevention,Colorectal cancer screening among adults aged 45–75 years,62.3,%
2022,AL,Conecuh,Prevention,Visited dentist or dental clinic in the past year among adults,48.7,%
2023,AR,Ouachita,Health Status,Fair or poor self-rated health status among adults,29.3,%
2022,AK,Petersburg,Health Risk Behaviors,Short sleep duration among adults,32.5,%
2023,AR,Ouachita,Disability,Vision disability among adults,7.1,%
2023,AZ,La Paz,Disability,Vision disability among adults,8.8,%
2023,CA,Plumas,Prevention,Visits to doctor for routine checkup within the past year among adults,70.2,%
2023,AR,Lawrence,Health-Related Social Needs,Loneliness among adults,35.5,%
2023,AL,Bibb,Disability,Hearing disability among adults,8.4,%
